timestamp,mid_price,spread,imbalance,bid_price,bid_volume,ask_price,ask_volume
2025-07-24 22:00:45.797446,118790.845,0.010000000009313226,-6.5820799999999995,118790.84,0.32459,118790.85,6.78444
2025-07-24 22:00:45.903957,118790.845,0.010000000009313226,-5.79809,118790.84,0.32589,118790.85,6.2789
2025-07-24 22:00:45.999546,118790.845,0.010000000009313226,-1.9006600000000002,118790.84,3.30117,118790.85,5.29854
2025-07-24 22:00:46.092954,118790.845,0.010000000009313226,-2.1056500000000002,118790.84,2.35925,118790.85,4.80695
2025-07-24 22:00:46.207106,118790.845,0.010000000009313226,-3.02369,118790.84,1.85487,118790.85,5.40154
2025-07-24 22:00:46.302662,118790.845,0.010000000009313226,-3.1341599999999996,118790.84,1.85237,118790.85,5.40111
2025-07-24 22:00:46.397383,118790.845,0.010000000009313226,-3.1382699999999994,118790.84,1.85242,118790.85,5.40513
2025-07-24 22:00:46.504015,118790.845,0.010000000009313226,-3.4159899999999994,118790.84,1.85234,118790.85,5.40513
2025-07-24 22:00:46.599116,118790.845,0.010000000009313226,-3.4154999999999998,118790.84,1.85084,118790.85,5.40289
2025-07-24 22:00:46.694659,118790.845,0.010000000009313226,-1.6343400000000003,118790.84,3.1014,118790.85,4.87228
2025-07-24 22:00:46.805954,118790.845,0.010000000009313226,-2.01046,118790.84,3.10134,118790.85,5.24829
2025-07-24 22:00:46.902811,118790.845,0.010000000009313226,-3.6854000000000005,118790.84,1.70399,118790.85,5.24829
2025-07-24 22:00:47.004553,118790.845,0.010000000009313226,-3.76579,118790.84,1.70409,118790.85,5.25225
2025-07-24 22:00:47.105603,118790.845,0.010000000009313226,-3.7663199999999994,118790.84,1.70409,118790.85,5.25278
2025-07-24 22:00:47.207626,118790.845,0.010000000009313226,-3.7663199999999994,118790.84,1.70409,118790.85,5.25278
2025-07-24 22:00:47.293793,118790.845,0.010000000009313226,-3.7663199999999994,118790.84,1.70409,118790.85,5.25278
2025-07-24 22:00:47.405328,118790.845,0.010000000009313226,-3.76675,118790.84,1.70409,118790.85,5.25321
2025-07-24 22:00:47.501519,118790.845,0.010000000009313226,-4.07271,118790.84,1.48262,118790.85,5.25247
2025-07-24 22:00:47.606769,118790.845,0.010000000009313226,-4.23873,118790.84,1.48511,118790.85,5.42098
2025-07-24 22:00:47.701814,118790.845,0.010000000009313226,-4.07022,118790.84,1.48511,118790.85,5.25247
